timestamp,pitch,roll,svm,gx,gy,gz,label
308095,-15.74,36.98,0.91,1.44,35.04,68.71,Running
308115,-15.29,36.6,0.92,1.25,35.37,68.75,Running
308135,-14.77,36.21,0.92,1.04,36.49,68.81,Running
308155,-14.28,35.85,0.94,1.02,37.8,68.8,Running
308175,-13.78,35.58,0.96,2.07,39.29,68.66,Running
308195,-13.32,35.5,0.99,6.99,38.82,68.11,Running
308215,-12.95,35.71,1.01,21.34,37.8,66.96,Running
308235,-12.79,36.13,1.01,34.61,34.38,65.46,Running
308255,-12.73,36.69,1.0,40.03,30.1,62.84,Running
308275,-12.81,37.25,0.99,40.15,26.67,59.36,Running
308295,-12.99,37.8,0.99,39.68,23.73,54.31,Running
308315,-13.32,38.33,0.98,39.55,19.18,47.66,Running
308335,-13.73,38.89,0.98,39.95,14.89,39.88,Running
308355,-14.22,39.47,0.97,40.23,10.53,32.48,Running
308375,-14.83,39.99,0.97,39.31,5.84,24.89,Running
308395,-15.44,40.4,0.97,36.38,3.31,16.82,Running
308415,-15.97,40.74,0.96,31.54,4.12,7.89,Running
308435,-16.35,41.02,0.96,27.74,6.14,-0.63,Running
308455,-16.7,41.26,0.96,27.04,6.67,-6.23,Running
308475,-17.13,41.57,0.95,26.29,5.2,-9.27,Running
308495,-17.45,41.83,0.95,23.63,8.49,-14.76,Running
308515,-17.52,41.8,0.94,13.66,17.5,-23.95,Running
308535,-17.29,41.52,0.95,0.57,30.82,-35.67,Running
308555,-16.85,41.2,0.96,-3.42,38.05,-43.09,Running
308575,-16.44,40.82,0.97,-2.8,36.86,-47.47,Running
308595,-16.29,40.41,0.98,-2.86,28.44,-48.54,Running
308615,-16.24,40.1,0.98,-1.1,17.12,-50.44,Running
308635,-16.26,39.78,0.97,1.12,8.01,-48.5,Running
308655,-16.17,39.38,0.96,2.21,14.92,-44.56,Running
308675,-16.18,39.01,0.95,5.3,14.55,-43.13,Running
308695,-16.24,38.79,0.94,12.4,13.85,-43.46,Running
308715,-16.17,38.72,0.9,20.88,14.84,-41.86,Running
308735,-15.87,38.81,0.86,23.43,19.12,-36.05,Running
308755,-15.72,39.02,0.8,20.66,15.97,-19.03,Running
308775,-15.77,38.98,0.72,7.54,9.89,6.34,Running
308795,-15.85,37.67,0.62,-33.69,8.18,30.67,Running
308815,-15.57,34.79,0.62,-76.2,13.67,61.04,Running
308835,-15.42,31.3,0.7,-93.09,8.55,94.69,Running
308855,-16.3,27.86,0.8,-90.57,-34.34,128.79,Running
308875,-18.29,25.09,0.89,-66.53,-113.45,165.39,Running
308895,-20.9,23.06,0.9,-7.92,-158.94,206.93,Running
308915,-23.34,21.18,0.89,28.45,-147.94,247.39,Running
308935,-25.35,19.15,0.9,30.97,-110.09,249.95,Running
308955,-26.7,17.03,0.93,25.18,-47.09,250.07,Running
308975,-27.14,14.8,0.98,12.65,12.83,250.09,Running
308995,-26.92,12.64,1.07,-12.28,56.94,250.1,Running
309015,-26.29,10.84,1.21,-36.27,79.81,250.11,Running
309035,-25.79,9.18,1.5,-59.19,71.4,250.11,Running
309055,-25.52,7.5,2.1,-79.44,61.44,250.12,Running
309075,-25.79,5.91,2.6,-82.7,29.87,247.54,Running
