timestamp,pitch,roll,svm,gx,gy,gz,label
265255,-26.15,-69.41,0.97,-4.41,-3.11,-0.22,Running
265275,-26.19,-69.41,0.97,-4.66,-3.05,-0.4,Running
265295,-26.19,-69.45,0.97,-5.06,-2.68,-0.77,Running
265315,-26.15,-69.46,0.97,-5.5,-1.85,-1.45,Running
265335,-26.07,-69.48,0.97,-5.78,-0.73,-2.36,Running
265355,-26.01,-69.52,0.97,-6.16,0.05,-3.09,Running
265375,-25.94,-69.57,0.97,-6.61,0.47,-3.38,Running
265395,-25.84,-69.61,0.97,-7.09,1.21,-3.52,Running
265415,-25.74,-69.65,0.97,-7.43,1.87,-3.52,Running
265435,-25.62,-69.68,0.97,-7.58,2.59,-3.52,Running
265455,-25.51,-69.7,0.97,-7.53,3.61,-3.78,Running
265475,-25.36,-69.76,0.97,-7.76,5.3,-4.43,Running
265495,-25.08,-69.82,0.97,-8.31,10.12,-6.17,Running
265515,-24.66,-69.81,0.97,-8.49,16.7,-8.84,Running
265535,-24.29,-69.73,0.97,-8.05,19.32,-10.61,Running
265555,-23.93,-69.53,0.97,-6.48,20.65,-13.06,Running
265575,-23.5,-69.23,0.98,-2.88,23.54,-17.19,Running
265595,-22.96,-68.81,0.98,2.35,28.42,-23.0,Running
265615,-22.48,-68.32,0.98,8.03,28.54,-25.29,Running
265635,-22.19,-67.85,0.98,9.2,26.19,-23.97,Running
265655,-22.01,-67.37,0.98,6.92,25.67,-25.11,Running
265675,-21.74,-66.85,0.98,3.82,29.2,-31.35,Running
265695,-21.3,-66.39,0.98,-4.33,39.63,-48.21,Running
265715,-20.77,-65.96,1.0,-13.82,45.4,-65.2,Running
265735,-20.12,-65.21,1.04,-7.65,49.23,-76.03,Running
265755,-19.48,-64.02,1.13,8.89,51.99,-75.47,Running
265775,-18.69,-62.33,1.32,36.02,62.3,-75.5,Running
265795,-18.18,-60.33,1.6,56.8,60.7,-78.21,Running
265815,-18.55,-58.03,2.01,77.53,37.12,-90.05,Running
265835,-19.58,-55.33,2.44,106.75,-8.46,-125.65,Running
265855,-20.68,-52.56,2.75,126.26,-20.74,-161.37,Running
265875,-22.23,-49.7,2.89,140.31,-43.29,-184.98,Running
265895,-24.23,-46.76,2.91,159.34,-68.54,-209.22,Running
265915,-26.16,-44.43,2.87,151.4,-71.16,-236.41,Running
265935,-27.42,-42.93,2.71,127.63,-53.69,-248.89,Running
265955,-27.87,-41.83,2.34,110.96,-19.52,-249.93,Running
265975,-27.72,-40.81,1.85,109.67,-3.11,-250.04,Running
265995,-27.13,-39.39,1.65,119.8,-0.61,-250.08,Running
266015,-25.97,-37.26,1.61,163.78,-2.23,-250.09,Running
266035,-24.41,-35.67,1.76,178.35,-6.27,-236.12,Running
266055,-22.33,-35.43,2.01,138.25,3.35,-101.89,Running
266075,-19.96,-36.15,2.14,84.81,16.36,35.2,Running
266095,-17.94,-37.55,2.03,45.04,9.22,144.15,Running
266115,-16.25,-39.35,1.76,10.6,9.01,217.28,Running
266135,-15.03,-41.12,1.42,-15.06,13.21,236.13,Running
266155,-13.7,-42.53,1.24,-18.52,28.93,232.61,Running
266175,-11.75,-43.74,1.15,-25.34,54.67,244.39,Running
266195,-11.49,-44.97,1.38,-48.88,30.28,249.1,Running
266215,-12.6,-45.34,2.27,-35.22,-12.25,249.83,Running
266235,-14.83,-43.76,2.64,29.61,-68.23,249.97,Running
266255,-17.81,-40.6,2.29,67.68,-86.08,213.34,Running
266275,-19.3,-37.38,2.22,5.94,-25.2,76.04,Running
266295,-19.39,-35.58,2.26,-59.22,44.39,15.21,Running
266315,-19.81,-34.43,2.24,-76.28,21.12,-13.32,Running
266335,-21.65,-32.93,2.23,-55.34,-44.23,-42.63,Running
266355,-24.11,-30.82,2.18,-28.91,-76.44,-96.15,Running
266375,-26.15,-28.54,1.99,-27.01,-55.24,-156.25,Running
266395,-27.61,-26.94,1.61,-42.35,-24.57,-196.36,Running
266415,-28.67,-26.47,1.25,-68.27,-6.94,-218.54,Running
266435,-29.77,-26.45,1.21,-61.6,-18.86,-227.17,Running
266455,-30.71,-25.89,1.29,-30.72,-13.01,-236.59,Running
266475,-31.52,-25.23,1.38,6.62,2.94,-247.39,Running
266495,-31.87,-25.29,1.59,4.46,34.91,-249.63,Running
266515,-31.9,-25.77,1.84,-1.69,49.59,-249.94,Running
266535,-31.84,-26.42,1.92,-1.99,48.7,-250.02,Running
266555,-31.39,-27.47,1.8,-10.0,54.75,-250.06,Running
266575,-29.6,-28.01,1.59,-13.13,87.32,-239.61,Running
266595,-27.57,-27.15,1.55,26.26,107.77,-123.68,Running
266615,-26.42,-25.51,1.6,106.35,77.54,-17.09,Running
266635,-27.4,-24.14,1.53,127.02,-24.87,8.97,Running
266655,-29.54,-23.64,1.37,117.12,-108.89,18.98,Running
266675,-31.06,-24.6,1.17,75.71,-111.24,40.62,Running
266695,-31.22,-26.67,1.0,13.77,-84.55,85.71,Running
266715,-30.33,-29.2,0.85,-25.1,-30.63,136.47,Running
266735,-29.58,-31.71,0.74,-50.74,1.29,161.18,Running
266755,-29.15,-34.06,0.73,-71.79,21.73,152.75,Running
266775,-28.76,-36.05,0.75,-85.17,32.8,132.89,Running
266795,-28.22,-37.45,0.77,-85.88,29.09,120.32,Running
266815,-27.6,-38.43,0.77,-85.52,29.81,131.27,Running
266835,-26.69,-39.01,0.83,-84.07,39.74,167.63,Running
266855,-25.36,-38.97,0.98,-76.9,72.05,206.49,Running
266875,-25.07,-38.24,1.39,-54.76,41.31,246.24,Running
266895,-26.06,-36.55,2.19,-16.07,-6.27,249.87,Running
266915,-27.12,-34.21,2.56,3.92,-19.21,211.65,Running
266935,-27.9,-31.2,2.77,32.18,-13.7,125.3,Running
266955,-30.2,-27.1,2.75,84.01,-67.71,62.68,Running
266975,-33.91,-22.65,2.64,83.58,-151.25,-23.43,Running
266995,-36.99,-19.1,2.5,48.76,-121.68,-137.82,Running
267015,-37.52,-17.19,2.3,-62.39,7.24,-247.34,Running
267035,-36.81,-18.08,2.1,-136.23,83.4,-250.06,Running
267055,-36.21,-19.44,1.97,-113.99,57.69,-250.11,Running
267075,-35.93,-19.59,1.98,-40.51,38.78,-250.12,Running
267095,-36.03,-18.71,1.85,46.23,22.96,-250.13,Running
267115,-36.25,-18.27,1.61,72.94,16.83,-250.13,Running
267135,-36.24,-19.13,1.45,39.79,19.13,-250.13,Running
267155,-35.13,-20.99,1.28,-11.36,47.16,-250.13,Running
